FileA,FileB,pearson_r,p_value,n_overlap
CD_3030_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,EMSeq_HG004_LAB01_REP01.converted.bedGraph,0.8922010256114733,0.0,27650977
CD_3030_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,EMSeq_HG003_LAB01_REP01.converted.bedGraph,0.813093389677076,0.0,27640764
CD_3030_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,CD_3029_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8307320509836373,0.0,29589354
CD_3030_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,CD_3028_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8305182145612074,0.0,29576834
CD_3030_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,CD_3031_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.9357725469282353,0.0,29855824
CD_3028_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,EMSeq_HG002_LAB01_REP01.converted.bedGraph,0.7847743733241153,0.0,27749333
CD_3028_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,CD_3032_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8048458319602322,0.0,29824861
CD_3028_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,CD_3033_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.808005937262997,0.0,29881853
CD_3028_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,EMSeq_HG004_LAB01_REP01.converted.bedGraph,0.8221425554448588,0.0,27629921
CD_3028_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,EMSeq_HG003_LAB01_REP01.converted.bedGraph,0.9056942392481667,0.0,27767119
CD_3028_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,CD_3029_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.9210108382996942,0.0,29958882
CD_3028_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,CD_3030_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8305182145612074,0.0,29576834
CD_3028_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,CD_3031_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8336592769224328,0.0,29626502
CD_3031_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,EMSeq_HG002_LAB01_REP01.converted.bedGraph,0.7994369950463647,0.0,27661558
CD_3031_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,CD_3032_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8159008238478611,0.0,29719493
CD_3031_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,CD_3033_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8196054840135365,0.0,29786594
CD_3031_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,EMSeq_HG004_LAB01_REP01.converted.bedGraph,0.8958377225632808,0.0,27666239
CD_3031_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,EMSeq_HG003_LAB01_REP01.converted.bedGraph,0.8161139280340105,0.0,27658275
CD_3031_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,CD_3029_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8338697410024841,0.0,29640863
CD_3031_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,CD_3030_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.9357725469282353,0.0,29855824
CD_3031_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,CD_3028_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8336592769224328,0.0,29626502
